thisToken=said,thisLemma=say,thisPos=VBD,lastToken=Inc.,lastLemma=Inc.,lastPos=NNP,nextToken=Gary,nextLemma=Gary,nextPos=NNP,colonAdj=False,quoteAdjIns=False,quoteAdjOut=False,VNclasses=indicate-78-1;!say-37.7-1,depth=3,parentNode=VP,siblings=NP;!VP;!.,distStart=3,distEnd=30,inQuotes=False,label=Y,metaData=0;3;wsj_2408.xml
thisToken=named,thisLemma=name,thisPos=VBN,lastToken=was,lastLemma=be,lastPos=VBD,nextToken=chief,nextLemma=chief,nextPos=JJ,colonAdj=False,quoteAdjIns=False,quoteAdjOut=False,VNclasses=appoint-29.1;!dub-29.3-1,depth=7,parentNode=VP,siblings=VBD;!VP,distStart=25,distEnd=8,inQuotes=False,label=N,metaData=0;25;wsj_2408.xml
thisToken=been,thisLemma=be,thisPos=VBN,lastToken=had,lastLemma=have,lastPos=VBD,nextToken=president,nextLemma=president,nextPos=NN,colonAdj=False,quoteAdjIns=False,quoteAdjOut=False,VNclasses=,depth=10,parentNode=VP,siblings=VBD;!VP,distStart=13,distEnd=20,inQuotes=False,label=N,metaData=0;13;wsj_2408.xml
thisToken=succeeds,thisLemma=succeed,thisPos=VBZ,lastToken=He,lastLemma=he,lastPos=PRP,nextToken=his,nextLemma=he,nextPos=PRP$,colonAdj=False,quoteAdjIns=False,quoteAdjOut=False,VNclasses=cope-83-1-1;!exceed-90;!succeed-74-1,depth=3,parentNode=VP,siblings=NP;!VP;!.,distStart=1,distEnd=15,inQuotes=False,label=N,metaData=1;1;wsj_2408.xml
thisToken=founded,thisLemma=found,thisPos=VBD,lastToken=who,lastLemma=who,lastPos=WP,nextToken=the,nextLemma=the,nextPos=DT,colonAdj=False,quoteAdjIns=False,quoteAdjOut=False,VNclasses=,depth=8,parentNode=VP,siblings=VP;!CC;!VP,distStart=10,distEnd=6,inQuotes=False,label=N,metaData=1;10;wsj_2408.xml
thisToken=remains,thisLemma=remain,thisPos=VBZ,lastToken=and,lastLemma=and,lastPos=CC,nextToken=chairman,nextLemma=chairman,nextPos=NN,colonAdj=False,quoteAdjIns=False,quoteAdjOut=False,VNclasses=exist-47.1-1,depth=8,parentNode=VP,siblings=VP;!CC;!VP,distStart=14,distEnd=2,inQuotes=False,label=N,metaData=1;14;wsj_2408.xml
thisToken=was,thisLemma=be,thisPos=VBD,"lastToken=,","lastLemma=,","lastPos=,",nextToken=appointed,nextLemma=appoint,nextPos=VBN,colonAdj=False,quoteAdjIns=False,quoteAdjOut=False,VNclasses=,depth=3,parentNode=VP,siblings=NP;!VP;!.,distStart=15,distEnd=11,inQuotes=False,label=N,metaData=2;15;wsj_2408.xml
thisToken=succeeding,thisLemma=succeed,thisPos=VBG,"lastToken=,","lastLemma=,","lastPos=,",nextToken=Gary,nextLemma=Gary,nextPos=NNP,colonAdj=False,quoteAdjIns=False,quoteAdjOut=False,VNclasses=cope-83-1-1;!exceed-90;!succeed-74-1,depth=6,parentNode=VP,siblings=VP,distStart=23,distEnd=3,inQuotes=False,label=N,metaData=2;23;wsj_2408.xml
thisToken=headed,thisLemma=head,thisPos=VBD,lastToken=who,lastLemma=who,lastPos=WP,nextToken=the,nextLemma=the,nextPos=DT,colonAdj=False,quoteAdjIns=False,quoteAdjOut=False,VNclasses=contiguous_location-47.8;!pit-10.7,depth=6,parentNode=VP,siblings=VP,distStart=8,distEnd=18,inQuotes=False,label=N,metaData=2;8;wsj_2408.xml
thisToken=said,thisLemma=say,thisPos=VBD,"lastToken=,","lastLemma=,","lastPos=,",nextToken=Fidelity,nextLemma=Fidelity,nextPos=NNP,colonAdj=False,quoteAdjIns=False,quoteAdjOut=False,VNclasses=indicate-78-1;!say-37.7-1,depth=3,parentNode=VP,siblings=NP;!VP;!.,distStart=8,distEnd=29,inQuotes=False,label=Y,metaData=0;8;wsj_2423.xml
